Time,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
OL,12,12,12,12,12,14,22,25,26,27,28,30,31,32,33,33,31,31,31,26,12,12,12,12
OM,5,5,5,5,5,7,11,12,14,15,16,18,19,19,20,20,20,20,22,19,5,5,5,5
OS,3,3,3,3,3,4,5,6,7,8,8,10,11,11,11,11,11,11,12,12,3,3,3,3
RL,25,25,26,26,26,30,28,20,14,14,14,14,14,12,12,12,12,18,23,20,26,26,25,25
RM,10,9,11,12,14,20,18,7,6,5,5,5,5,4,4,5,5,10,18,14,12,11,10,9
RS,5,4,5,6,6,7,7,6,5,5,6,3,3,3,3,3,3,3,6,5,6,5,5,4
,60,58,62,64,66,82,91,76,72,74,77,80,83,81,83,84,82,93,112,96,64,62,60,58
