time,cycle,date('now'),length(ViralPeople),length(building),length(building where (each.type = 'residential')),length(building where (each.type = 'shopping')),length(building where (each.type = 'business')),length(people where (each.macroTrip = false)),length(people where (each.macroTrip = true)),PANDEMIC_LEVEL,CITY_EFFICIENCY,SAFETY_LEVEL,nb_susceptible,nb_infected,nb_recovered,nb_death
0.0,0,date ('2020-06-09 09:48:39'),0,30,10,10,10,100,0,0.0,0.0,0.0,0,0,0,0
3568.0,157,date ('2020-06-09 09:48:48'),100,30,10,10,10,74,26,0.0,0.59,0.0,100,0,0,0
7168.0,217,date ('2020-06-09 09:48:51'),100,30,10,10,10,72,28,0.0,0.66,0.0,100,0,0,0
10768.0,277,date ('2020-06-09 09:48:54'),100,30,10,10,10,66,34,0.01,0.62,0.0,99,1,0,0
14368.0,337,date ('2020-06-09 09:48:58'),100,30,10,10,10,65,35,0.01,0.6,0.0,99,1,0,0
17968.0,397,date ('2020-06-09 09:49:01'),100,30,10,10,10,66,34,0.01,0.59,0.0,99,1,0,0
21568.0,457,date ('2020-06-09 09:49:04'),100,30,10,10,10,69,31,0.01,0.6,0.0,99,1,0,0
25168.0,517,date ('2020-06-09 09:49:07'),100,30,10,10,10,67,33,0.01,0.57,0.0,99,1,0,0
28768.0,577,date ('2020-06-09 09:49:10'),100,30,10,10,10,72,28,0.01,0.6,0.0,99,1,0,0
32368.0,637,date ('2020-06-09 09:49:13'),99,30,10,10,10,64,35,0.0,0.6060606060606061,0.0,99,0,0,1
35968.0,697,date ('2020-06-09 09:49:16'),99,30,10,10,10,63,36,0.0101010101010101,0.5656565656565656,0.0,98,1,0,1
39568.0,757,date ('2020-06-09 09:49:19'),99,30,10,10,10,63,36,0.0101010101010101,0.6161616161616161,0.0,98,1,0,1
43168.0,817,date ('2020-06-09 09:49:22'),98,30,10,10,10,71,27,0.0,0.6020408163265306,0.0,98,0,0,2
46768.0,877,date ('2020-06-09 09:49:35'),85,30,10,10,10,61,24,0.4117647058823529,0.5882352941176471,0.0,50,35,0,15
50368.0,937,date ('2020-06-09 09:49:38'),68,30,10,10,10,44,24,0.2753623188405797,0.6376811594202898,0.0,50,18,0,32
53968.0,997,date ('2020-06-09 09:49:41'),58,30,10,10,10,41,17,0.15517241379310345,0.7241379310344828,0.0,49,9,0,42
57568.0,1057,date ('2020-06-09 09:49:44'),54,30,10,10,10,40,14,0.09259259259259259,0.5370370370370371,0.0,49,5,0,46
61168.0,1117,date ('2020-06-09 09:49:47'),50,30,10,10,10,37,13,0.02,0.64,0.0,49,1,0,50
64768.0,1177,date ('2020-06-09 09:49:50'),50,30,10,10,10,37,13,0.02,0.68,0.0,49,1,0,50
68368.0,1237,date ('2020-06-09 09:49:53'),39,30,10,10,10,27,12,0.9743589743589743,0.5641025641025641,0.0,1,38,0,61
71968.0,1297,date ('2020-06-09 09:49:57'),21,30,10,10,10,16,5,0.9545454545454546,0.5909090909090909,0.0,1,20,0,79
75568.0,1357,date ('2020-06-09 09:50:00'),6,30,10,10,10,5,1,0.8333333333333334,0.5,0.0,1,5,0,94
79168.0,1417,date ('2020-06-09 09:50:03'),2,30,10,10,10,1,1,0.5,0.5,0.0,1,1,0,98
82768.0,1477,date ('2020-06-09 09:50:06'),1,30,10,10,10,0,1,0.0,1.0,0.0,1,0,0,99
86368.0,1537,date ('2020-06-09 09:50:09'),1,30,10,10,10,0,1,0.0,1.0,0.0,1,0,0,99
89968.0,1597,date ('2020-06-09 09:50:12'),1,30,10,10,10,0,1,0.0,1.0,0.0,1,0,0,99
93568.0,1657,date ('2020-06-09 09:50:15'),1,30,10,10,10,0,1,0.0,1.0,0.0,1,0,0,99
97168.0,1717,date ('2020-06-09 09:50:18'),1,30,10,10,10,0,1,0.0,1.0,0.0,1,0,0,99
100768.0,1777,date ('2020-06-09 09:50:21'),1,30,10,10,10,0,1,0.0,1.0,0.0,1,0,0,99
104368.0,1837,date ('2020-06-09 09:50:25'),1,30,10,10,10,0,1,0.0,1.0,0.0,1,0,0,99
