time,cycle,date('now'),length(ViralPeople),length(building),length(building where (each.type = 'residential')),length(building where (each.type = 'shopping')),length(building where (each.type = 'business')),length(people where (each.macroTrip = false)),length(people where (each.macroTrip = true)),PANDEMIC_LEVEL,CITY_EFFICIENCY,SAFETY_LEVEL,nb_susceptible,nb_infected,nb_recovered,nb_death
0.0,0,date ('2020-06-05 10:10:20'),0,30,10,10,10,100,0,0.0,1.0,0.0,0,0,0,0
3600.0,60,date ('2020-06-05 10:18:40'),100,30,10,10,10,69,31,0.0,0.69,0.0,100,0,0,0
7200.0,120,date ('2020-06-05 10:18:43'),97,30,10,10,10,69,28,0.11,0.69,0.0,86,11,0,3
10800.0,180,date ('2020-06-05 10:18:46'),81,30,10,10,10,49,32,0.3,0.5,0.0,53,28,0,19
14400.0,240,date ('2020-06-05 10:18:49'),63,30,10,10,10,44,19,0.52,0.44,0.0,11,52,0,37
18000.0,300,date ('2020-06-05 10:18:52'),37,30,10,10,10,27,10,0.33,0.27,0.0,5,32,0,63
21600.0,360,date ('2020-06-05 10:18:55'),22,30,10,10,10,15,7,0.19,0.15,0.0,3,19,0,78
25200.0,420,date ('2020-06-05 10:18:59'),12,30,10,10,10,7,5,0.09,0.07,0.0,3,9,0,88
28800.0,480,date ('2020-06-05 10:19:02'),7,30,10,10,10,3,4,0.04,0.03,0.0,3,4,0,93
32400.0,540,date ('2020-06-05 10:19:05'),4,30,10,10,10,1,3,0.01,0.01,0.0,3,1,0,96
36000.0,600,date ('2020-06-05 10:19:08'),3,30,10,10,10,3,0,0.0,0.03,0.0,3,0,0,97
39600.0,660,date ('2020-06-05 10:19:11'),3,30,10,10,10,2,1,0.0,0.02,0.0,3,0,0,97
43200.0,720,date ('2020-06-05 10:19:15'),3,30,10,10,10,2,1,0.0,0.02,0.0,3,0,0,97
46800.0,780,date ('2020-06-05 10:19:18'),3,30,10,10,10,2,1,0.0,0.02,0.0,3,0,0,97
50400.0,840,date ('2020-06-05 10:19:21'),3,30,10,10,10,2,1,0.0,0.02,0.0,3,0,0,97
54000.0,900,date ('2020-06-05 10:19:24'),3,30,10,10,10,2,1,0.0,0.02,0.0,3,0,0,97
57600.0,960,date ('2020-06-05 10:19:27'),3,30,10,10,10,3,0,0.0,0.03,0.0,3,0,0,97
61200.0,1020,date ('2020-06-05 10:19:31'),3,30,10,10,10,1,2,0.0,0.01,0.0,3,0,0,97
64800.0,1080,date ('2020-06-05 10:19:34'),3,30,10,10,10,2,1,0.0,0.02,0.0,3,0,0,97
68400.0,1140,date ('2020-06-05 10:19:37'),3,30,10,10,10,3,0,0.0,0.03,0.0,3,0,0,97
72000.0,1200,date ('2020-06-05 10:19:40'),3,30,10,10,10,1,2,0.0,0.01,0.0,3,0,0,97
75600.0,1260,date ('2020-06-05 10:19:43'),3,30,10,10,10,2,1,0.0,0.02,0.0,3,0,0,97
