time,cycle,date('now'),length(ViralPeople),length(building),length(building where (each.type = 'residential')),length(building where (each.type = 'shopping')),length(building where (each.type = 'business')),length(people where (each.macroTrip = false)),length(people where (each.macroTrip = true)),PANDEMIC_LEVEL,CITY_EFFICIENCY,SAFETY_LEVEL,nb_susceptible,nb_infected,nb_recovered,nb_death
0.0,0,date ('2020-06-05 10:00:34'),0,30,10,10,10,100,0,0.0,1.0,0.0,0,0,0,0
3600.0,60,date ('2020-06-05 10:08:34'),100,30,10,10,10,69,31,0.0,0.69,0.0,100,0,0,0
7200.0,120,date ('2020-06-05 10:08:37'),100,30,10,10,10,66,34,0.01,0.66,0.0,99,1,0,0
10800.0,180,date ('2020-06-05 10:08:40'),100,30,10,10,10,66,34,0.01,0.66,0.0,99,1,0,0
14400.0,240,date ('2020-06-05 10:08:43'),100,30,10,10,10,74,26,0.01,0.74,0.0,99,1,0,0
18000.0,300,date ('2020-06-05 10:08:47'),100,30,10,10,10,64,36,0.02,0.64,0.0,98,2,0,0
21600.0,360,date ('2020-06-05 10:08:50'),99,30,10,10,10,68,31,0.01,0.68,0.0,98,1,0,1
25200.0,420,date ('2020-06-05 10:08:53'),99,30,10,10,10,72,27,0.01,0.72,0.0,98,1,0,1
28800.0,480,date ('2020-06-05 10:08:56'),99,30,10,10,10,69,30,0.02,0.69,0.0,97,2,0,1
32400.0,540,date ('2020-06-05 10:08:59'),98,30,10,10,10,72,26,0.01,0.72,0.0,97,1,0,2
36000.0,600,date ('2020-06-05 10:09:03'),97,30,10,10,10,73,24,0.0,0.73,0.0,97,0,0,3
39600.0,660,date ('2020-06-05 10:09:06'),97,30,10,10,10,64,33,0.0,0.64,0.0,97,0,0,3
43200.0,720,date ('2020-06-05 10:09:09'),97,30,10,10,10,73,24,0.0,0.73,0.0,97,0,0,3
46800.0,780,date ('2020-06-05 10:09:12'),96,30,10,10,10,65,31,0.0,0.65,0.0,96,0,0,4
50400.0,840,date ('2020-06-05 10:09:15'),96,30,10,10,10,66,30,0.0,0.66,0.0,96,0,0,4
54000.0,900,date ('2020-06-05 10:09:19'),96,30,10,10,10,71,25,0.0,0.71,0.0,96,0,0,4
57600.0,960,date ('2020-06-05 10:09:22'),96,30,10,10,10,67,29,0.01,0.67,0.0,95,1,0,4
61200.0,1020,date ('2020-06-05 10:09:25'),96,30,10,10,10,70,26,0.02,0.7,0.0,94,2,0,4
64800.0,1080,date ('2020-06-05 10:09:28'),95,30,10,10,10,67,28,0.01,0.67,0.0,94,1,0,5
68400.0,1140,date ('2020-06-05 10:09:31'),95,30,10,10,10,67,28,0.01,0.67,0.0,94,1,0,5
