time,cycle,date('now'),length(ViralPeople),length(building),length(building where (each.type = 'residential')),length(building where (each.type = 'shopping')),length(building where (each.type = 'business')),length(people where (each.macroTrip = false)),length(people where (each.macroTrip = true)),PANDEMIC_LEVEL,CITY_EFFICIENCY,SAFETY_LEVEL,nb_susceptible,nb_infected,nb_recovered,nb_death
0.0,0,date ('2020-06-05 10:19:51'),0,30,10,10,10,100,0,0.0,1.0,0.0,0,0,0,0
3600.0,60,date ('2020-06-05 10:25:59'),100,30,6,7,17,98,2,0.01,0.98,0.0,99,1,0,0
7200.0,120,date ('2020-06-05 10:26:02'),100,30,6,7,17,95,5,0.02,0.95,0.0,98,2,0,0
10800.0,180,date ('2020-06-05 10:26:05'),98,30,6,7,17,96,2,0.02,0.96,0.0,96,2,0,2
14400.0,240,date ('2020-06-05 10:26:08'),96,30,6,7,17,92,4,0.01,0.92,0.0,95,1,0,4
18000.0,300,date ('2020-06-05 10:26:11'),95,30,6,7,17,92,3,0.02,0.92,0.0,93,2,0,5
21600.0,360,date ('2020-06-05 10:26:14'),95,30,6,7,17,91,4,0.04,0.91,0.0,91,4,0,5
25200.0,420,date ('2020-06-05 10:26:18'),91,30,6,7,17,88,3,0.03,0.88,0.0,88,3,0,9
28800.0,480,date ('2020-06-05 10:26:21'),89,30,6,7,17,85,4,0.01,0.85,0.0,88,1,0,11
32400.0,540,date ('2020-06-05 10:26:24'),88,30,6,7,17,86,2,0.0,0.86,0.0,88,0,0,12
36000.0,600,date ('2020-06-05 10:26:27'),88,30,6,7,17,84,4,0.0,0.84,0.0,88,0,0,12
39600.0,660,date ('2020-06-05 10:26:30'),88,30,6,7,17,88,0,0.0,0.88,0.0,88,0,0,12
43200.0,720,date ('2020-06-05 10:26:34'),88,30,6,7,17,86,2,0.0,0.86,0.0,88,0,0,12
46800.0,780,date ('2020-06-05 10:26:37'),88,30,6,7,17,85,3,0.0,0.85,0.0,88,0,0,12
50400.0,840,date ('2020-06-05 10:26:40'),88,30,6,7,17,87,1,0.0,0.87,0.0,88,0,0,12
54000.0,900,date ('2020-06-05 10:26:43'),88,30,6,7,17,85,3,0.0,0.85,0.0,88,0,0,12
57600.0,960,date ('2020-06-05 10:26:46'),88,30,6,7,17,82,6,0.0,0.82,0.0,88,0,0,12
61200.0,1020,date ('2020-06-05 10:26:50'),88,30,6,7,17,84,4,0.0,0.84,0.0,88,0,0,12
64800.0,1080,date ('2020-06-05 10:26:53'),88,30,6,7,17,88,0,0.0,0.88,0.0,88,0,0,12
68400.0,1140,date ('2020-06-05 10:26:56'),88,30,6,7,17,82,6,0.0,0.82,0.0,88,0,0,12
72000.0,1200,date ('2020-06-05 10:26:59'),88,30,6,7,17,84,4,0.0,0.84,0.0,88,0,0,12
75600.0,1260,date ('2020-06-05 10:27:02'),88,30,6,7,17,84,4,0.0,0.84,0.0,88,0,0,12
