Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
1070000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1080000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1090000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1100000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1110000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1120000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1130000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1140000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1150000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1160000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1170000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1180000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1190000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1200000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1210000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1220000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1230000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1240000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1250000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1260000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1270000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1280000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1290000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1300000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1310000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1320000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1330000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1340000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1350000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1360000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1370000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1380000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1390000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1400000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1410000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1420000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1430000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
