kendallBlockWorkersValid1,kendallBlockWorkersValid2,kendallBlockWorkersValid3
250173511005,1,$60000 - $99999
250173512031,1,$60000 - $99999
250173512033,2,$60000 - $99999
250173512034,1,$60000 - $99999
250173512041,1,<$30000
250173512042,4,$60000 - $99999
250173512043,1,$60000 - $99999
250173513001,2,$100000 - $124999
250173513002,1,<$30000
250173513003,1,$100000 - $124999
250173514032,1,$45000 - $59999
250173514034,1,$60000 - $99999
250173514042,3,<$30000
250173514044,2,<$30000
250173515001,1,<$30000
250173515002,3,$60000 - $99999
250173521011,4,$150000 - $199999
250173521012,7,<$30000
250173521021,16,>$200000
250173521022,7,$60000 - $99999
250173522001,7,<$30000
250173523001,9,<$30000
250173523002,13,>$200000
250173524001,5,>$200000
250173524002,15,<$30000
250173525001,7,<$30000
250173525002,6,$60000 - $99999
250173526001,4,$60000 - $99999
250173526002,2,<$30000
250173527001,3,$60000 - $99999
250173527002,2,<$30000
250173527003,2,>$200000
250173528002,5,$60000 - $99999
250173529002,1,>$200000
250173530003,4,<$30000
250173530004,2,<$30000
250173531011,3,<$30000
250173531012,6,$60000 - $99999
250173531021,10,$125000 - $149999
250173531022,20,$100000 - $124999
250173531023,1,<$30000
250173532001,15,>$200000
250173532002,4,<$30000
250173533002,1,$60000 - $99999
250173533003,2,$60000 - $99999
250173534001,2,$30000 - $44999
250173535001,1,<$30000
250173535002,2,$60000 - $99999
250173537001,2,$60000 - $99999
250173538002,2,<$30000
250173538003,1,$60000 - $99999
250173538004,2,$60000 - $99999
250173539001,1,<$30000
250173539002,1,<$30000
250173541003,1,$60000 - $99999
250173542001,1,>$200000
250173542002,1,>$200000
250173542003,2,>$200000
250173543001,2,<$30000
250173543002,1,$60000 - $99999
250173544001,2,>$200000
250173544002,1,>$200000
250173545003,1,$60000 - $99999
250173546004,1,$60000 - $99999
250173547001,2,>$200000
250173547002,1,$60000 - $99999
250173549001,1,$30000 - $44999
250173549002,2,<$30000
250173549003,5,$150000 - $199999
250173550003,2,$60000 - $99999
250173561001,1,$60000 - $99999
250173564001,1,>$200000
250173564005,1,>$200000
250173564006,1,>$200000
250173564007,3,$100000 - $124999
250173565005,1,$60000 - $99999
250173565006,1,$125000 - $149999
250173566011,2,$60000 - $99999
250173566012,1,>$200000
250173566024,1,>$200000
250173567011,1,$60000 - $99999
250173567015,1,$60000 - $99999
250173567021,1,$150000 - $199999
250173571002,2,$60000 - $99999
250173572001,1,>$200000
250173573002,2,$60000 - $99999
250173574002,1,>$200000
250173576002,1,$60000 - $99999
250173578003,1,>$200000
250173581001,1,>$200000
250173581002,4,>$200000
250173581003,1,>$200000
250173581004,1,$150000 - $199999
250173583001,1,>$200000
250173583002,2,>$200000
250173584002,1,<$30000
250173585002,1,>$200000
250173587002,1,>$200000
250173587003,2,>$200000
250173591001,1,>$200000
250173591004,1,>$200000
250173602004,1,>$200000
250173612003,2,>$200000
250173613001,1,>$200000
250173631023,2,<$30000
250173631031,1,>$200000
250173641013,1,$60000 - $99999
250173641021,1,<$30000
250173641024,1,$60000 - $99999
250173651002,1,>$200000
250173661004,1,>$200000
250173661005,1,>$200000
250173671001,1,>$200000
250173681012,1,<$30000
250173683003,1,$60000 - $99999
250173684002,1,$150000 - $199999
250173685001,1,<$30000
250173686003,1,<$30000
250173687002,1,$60000 - $99999
250173688001,1,<$30000
250173688004,1,$60000 - $99999
250173689011,1,$150000 - $199999
250173689013,1,<$30000
250173689014,1,>$200000
250173691001,1,$60000 - $99999
250173691004,1,$60000 - $99999
250173691005,1,$150000 - $199999
250173701011,1,$60000 - $99999
250173701022,1,<$30000
250173702011,1,$150000 - $199999
250173702012,1,$60000 - $99999
